timestamp,symbol,setup,bias,grade,timing_tier,confirmed,confidence_score,confidence_label,contracts,risk_dollars,entry_price,exit_price,pnl_dollars,pnl_percent,win_or_loss,lesson
2026-04-15 07:06:32,QQQ,BREAK_AND_HOLD_CALL,CALL,A,CHASE,True,100,AUTO,1,100.0,628.53998,628.53998,0.0,0.0,WIN,Flattened by command / AES
2026-04-15 09:43:37,QQQ,VWAP_RECLAIM_CALL,CALL,A,,True,90,AUTO,1,100.0,628.54,629.42,88.0,88.0,WIN,Auto closed by trade manager: STOP_LOSS_HIT
2026-04-15 11:13:33,QQQ,BOUNCE_REJECT_PUT,PUT,B+,,True,83,AUTO,1,85.0,631.96,632.82,-86.0,-101.18,LOSS,Auto closed by trade manager: STOP_LOSS_HIT
2026-04-15 11:13:38,QQQ,BOUNCE_REJECT_PUT,PUT,B+,,True,86,AUTO,1,85.0,631.96,632.82,-86.0,-101.18,LOSS,Auto closed by trade manager: STOP_LOSS_HIT
2026-04-15 11:40:26,QQQ,VWAP_RECLAIM_CALL,CALL,A,,True,90,AUTO,1,100.0,633.32,632.855,-46.5,-46.5,LOSS,Flattened by command / AES
2026-04-15 11:40:32,QQQ,BREAK_AND_HOLD_CALL,CALL,A,CHASE,True,100,AUTO,1,100.0,628.53998,632.855,431.5,431.5,WIN,Flattened by command / AES
2026-04-15 12:26:33,QQQ,VWAP_RECLAIM_CALL,CALL,A,,True,90,AUTO,1,100.0,633.32,634.06,74.0,74.0,WIN,Auto closed by trade manager: STOP_LOSS_HIT
2026-04-15 12:41:34,QQQ,BREAK_AND_HOLD_CALL,CALL,A,CHASE,True,100,AUTO,1,100.0,633.04,632.75,-29.0,-29.0,LOSS,Auto closed by stop / risk engine
2026-04-15 13:35:35,QQQ,BOUNCE_REJECT_PUT,PUT,A,,True,93,AUTO,1,100.0,633.47,633.51,-4.0,-4.0,LOSS,Auto closed by trade manager: STOP_LOSS_HIT
2026-04-15 14:01:34,QQQ,VWAP_RECLAIM_CALL,CALL,A,,True,90,AUTO,1,100.0,633.51,632.7,-81.0,-81.0,LOSS,Auto closed by trade manager: STOP_LOSS_HIT
2026-04-15 15:41:45,QQQ,VWAP_RECLAIM_CALL,CALL,A,,True,90,AUTO,1,100.0,634.49,636.555,206.5,206.5,WIN,Auto closed by trade manager: STOP_LOSS_HIT
2026-04-15 17:11:43,QQQ,BREAK_AND_HOLD_CALL,CALL,A,CHASE,True,100,AUTO,1,100.0,632.49,637.37,488.0,488.0,WIN,Flattened by command / AES
